"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"91",0,0,"Las furias","",0.369842,4,"2016-11-11","Released",NA,"Aquí y Allí Films, Televisión Española, ",", , "
"92",0,0,"Up in the Sky","Pottan is going to a riding camp, but ends up at a recycling center where she is taken care of by the strange staff. One day Pottan finds out that the staff are building a space rocket.",0.039558,0,"2016-10-21","Released",82,"Film i Väst, ","Sweden, "
"93",30000000,2351359,"Ballerina","Set in 1879 Paris. An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",14.605207,684,"2016-12-14","Released",89,"Main Journey, Caramel Films, Quad Productions, ","Canada, France, "
"94",0,0,"Tatu and Patu","",0.159624,0,"2016-10-19","Released",75,"Dionysos Films Oy, ","Finland, "
"95",125000000,346864462,"Trolls","Lovable and friendly, the trolls love to play around. But one day, a mysterious giant shows up to end the party. Poppy, the optimistic leader of the Trolls, and her polar opposite, Branch, must embark on an adventure that takes them far beyond the only world they’ve ever known.",19.172778,1381,"2016-10-13","Released",92,"DreamWorks Animation, 20th Century Fox, ","United States of America, "
"96",111000000,296485718,"Miss Peregrine's Home for Peculiar Children","A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.",17.762961,4641,"2016-09-28","Released",127,"Big Screen Productions, Chernin Entertainment, Tim Burton Productions, SCOPE Pictures, St. Petersburg Clearwater Film Commission, TSG Entertainment, Ingenious Media, 20th Century Fox, ","Belgium, United Kingdom, United States of America, "
"97",0,0,"Heartland","A young Oklahoma artist, struggling with a recent death, finds escape in a reckless affair with her brother's girlfriend.",0.642737,8,"2016-09-24","Released",98,", , ",", , "
"98",0,0,"One Hundred and Fifty Years of Life","A 90-year-old man struggles to care for his mentally handicapped son.",0.216174,2,"2016-09-22","Released",93,"Liu Yu Film Studio, ","China, "
"99",2500000,0,"Rolli and the Secret Route","Rolli and little elf girl Juniper along with the rest of the rollis and other strange creatures lead peaceful and rollishly fun lives in their flourishing Rolli Village. One day the inquisitive friends Rolli and Juniper hear incredible news from Malcolm the Maggot: somewhere far away, beyond mountains, forests and the sea, lies a place called The Beginning of All Time. That’s where the storks always take off on their trips to deliver babies in small bundles to their new homes. Rolli and Juniper cannot help but become curious. Both of them have fallen into Rolli Village in a bundle from the sky, and especially Juniper has always wondered where she came from. The two friends decide to throw themselves into a joint adventure. They embark on a trip toward The Beginning of All Time in order to find the answer to life’s greatest secret.",0.205423,0,"2016-09-16","Released",82,"Matila Röhr Productions (MRP), ","Finland, "
"100",0,0,"Hey Bunny","A misanthropist ex-hacker is suspected of sabotaging a famous happiness-research facility. He is forced to prove his innocence and stumbles into a wild adventure, during which he involuntarily becomes an idealistic activist, has to deal with strange, possibly supernatural rabbits and his crazy family - and regains a little belief in happiness.",0.53135,2,"2017-04-27","Released",90,"Hot Couple Film, ","Germany, "
